Asset Name,IPV4 Address,Corrections needed
lpsrcj8oas1t.vv.dfwcal.ca.gov,20.3.120.44,Add to AD - Detected in Scanner
fg2slps86fin12p.vv.dfwcal.ca.gov,"20.3.114.121,12.31.11.74",Add to AD - Detected in Scanner
vj2slps86ps2p.vv.dfwcal.ca.gov,"20.3.114.189,12.31.11.82",Add to AD - Detected in Scanner
GCDFWWCRL1P,20.300.40.129,Add to AD - Detected in Scanner
VJCFWTS2P,20.3.121.2,Add to AD - Detected in Scanner
GPLDFWCSATW1P,20.3.114.179,Add to AD - Detected in Scanner
20.3.100.231,20.3.100.231,Add to AD - Detected in Scanner
20.3.100.233,20.3.100.233,Add to AD - Detected in Scanner
20.3.118.133,20.3.118.133,Add to AD - Detected in Scanner
20.200.160.193,20.200.160.193,Add to AD - Detected in Scanner
templaterhel9pln,20.3.114.161,Add to AD - Detected in Scanner
20.200.160.13,20.200.160.13,Add to AD - Detected in Scanner
tstianidstare.dfwcal.ca.gov,20.3.118.64,Add to AD - Detected in Scanner
20.200.40.79,20.200.40.79,Add to AD - Detected in Scanner
rhel09-base.vv.dfwcal.ca.gov,20.3.114.22,Add to AD - Detected in Scanner
gpcsrh8odi4p,20.3.114.139,Add to AD - Detected in Scanner
vpcsrh9odi3p,20.3.114.138,Add to AD - Detected in Scanner
rhel08-base,20.3.114.21,Add to AD - Detected in Scanner
